id,chapter,title,question,options,answer,answer_sets,explanation,law_refs,law_urls,tags,confidence,status,law_as_of,source_tier,question_text_source,answer_source,explanation_source,law_reference_source,review_status,reviewed_at,review_result,source_url,answer_url,explanation_url,page_url
tw-101-tw01-001,tw01,101 年・第 1 題,關於刑法第185 條之4 的「肇事逃逸罪」，依最新實務見解，下列敘述，何者錯誤？,"所謂駕駛動力交通工具肇事，依據文義，係指「發生交通事故」、「發生車禍」而言，應屬「意外」之情形
本罪行為人之肇事有否過失，並非所問
行為人對於「致人死傷」有否認識，均不影響本罪故意之成立
本罪為刑法第294 條第1 項保護義務者遺棄罪之特別規定",3,3|4|3+4,"爭點：本題爭點是肇事逃逸罪中『肇事』是否限於意外、肇事過失是否必要、行為人對死傷結果是否須有認識，以及本罪與刑法第294條遺棄罪的規範關係。官方答案欄保留C、D或C+D的複選格式，反映不同實務論證所涉及的爭議。

規則：肇事逃逸罪的核心是駕駛動力交通工具發生交通事故，致人死傷後仍逃離現場；肇事者對事故是否有過失，與逃逸罪的成立判斷並非同一問題。就主觀要件，實務曾有將致人死傷視為客觀處罰條件的說法，也有見解要求行為人至少認識或預見被害人死傷；不能把『均不影響故意』當成沒有爭議的絕對命題。與第294條的關係亦須看具體行為是否同時符合保護義務與無自救力等遺棄要件，不能概括宣稱任何肇事逃逸都是第294條的特別規定。

本題判斷：A把肇事直接限定為單純意外，忽略實務上事故可能伴隨過失或其他可歸責行為，這個表述過窄。B所說肇事有無過失不是本罪唯一判準，方向上可與肇事逃逸罪的獨立保護目的相容。C使用『有否認識均不影響』的絕對語氣，排除了要求行為人認識或預見死傷的故意要件，因此在採取主觀認識必要說時即屬錯誤。D把第185條之4一概稱為第294條的特別規定也過度概括；兩罪的犯罪主體、被害人狀態與保護義務並不完全相同，是否成立法規競合須按具體事實判斷。

逐項分析：
A（非官方答案）：肇事不必然等於不可歸責的純意外；事故可能由駕駛人的過失或其他可歸責行為造成，因此把『肇事』限縮為意外，不能完整表達本罪的判斷範圍。
B（非官方答案）：肇事者對事故有無過失，與事故後是否逃逸及對死傷事實的主觀認識是不同層次；不能僅因無過失就當然免除事故後救護、留置現場等義務。
C（官方答案）：『有否認識均不影響故意』是絕對表述；採要求行為人認識或至少預見致人死傷的實務見解時，欠缺該主觀認識即不能逕認具肇事逃逸故意，故C的說法不正確。
D（官方答案）：第185條之4與第294條的犯罪主體、被害人是否屬無自救力者及保護義務要件並不完全相同，不能不問具體事實就一概稱前者是後者的特別規定；D的概括說法因此有誤。

歷史法提醒：本題為民國101年度試題；source_packet只提供『中華民國刑法第185條之4』候選標記，且official_answer為3|4|3+4，未逐條比對應試年度法規版本與後續修法差異。

現行法提醒：本題未提供第185條之4完整可靠摘錄，且複選答案格式與選項判斷關係未完成逐題核對。

不確定性：可靠具體法源未提供；OCR／答案欄以複選格式呈現，未完成法源核對，且未經律師逐題審核。",,,101,low,ok,ROC-101,official-primary,public-page-transcription,moex-official-answer-pdf,ai-generated,none,ai-generated-unreviewed,,,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=Q&code=101120&c=201&s=0213&q=1,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=M&code=101120&c=201&s=0213&q=1,,https://lawplayer.com/exam/judicial-officer/101-comprehensive-law-1-criminal
tw-101-tw01-002,tw01,101 年・第 2 題,某週刊攝影記者甲得知藝人A 深夜與朋友於私人別墅的室外游泳池畔舉辦派對，由於游泳池位於別墅大門入口下數十階梯下方，池畔有濃密樹木足以遮擋鄰房視線，又有大門與圍牆，他人或隔鄰住戶難以由外窺視別墅裡面的情形。甲為了蒐集週刊內容並加以編輯印刷販賣，遂進入鄰近無任何門禁管制之施工建築物第3 層大樓，以攝影器材拍攝A 與友人擁抱、親吻的親暱肢體動作，拍得後交給週刊雜誌社印刷成冊，並配銷於各販賣據點。試問甲成立下列何罪？,"無罪
成立刑法第315 條之2 妨害秘密罪
成立刑法第316 條洩漏業務秘密罪
成立刑法第309 條公然侮辱罪",2,2,"爭點：本題爭點是從高處偷拍私人別墅泳池親密行為的犯罪構成。

規則：刑法第315條之2保護非公開活動及身體隱私，重點是利用工具窺視、竊錄或散布他人非公開活動；場所雖在戶外，只要有圍牆、樹木及位置使一般人難以看見，仍可能具有非公開性。

本題判斷：甲特意進入鄰近施工建築物三樓取景，拍攝私人別墅泳池旁擁抱親吻並販售散布，符合以器材窺視及散布非公開親密活動的侵害。

逐項分析：
A（非官方答案）：A敘述錯誤：私人且難以由外窺視的泳池活動不是當然公開，不能因此無罪。
B（官方答案）：B敘述正確：甲以攝影器材拍攝並散布非公開活動，成立第315條之2相關罪責。
C（非官方答案）：C敘述錯誤：甲不是因職業知悉業務秘密而洩漏第316條秘密。
D（非官方答案）：D敘述錯誤：親密拍攝行為不以侮辱性言詞構成公然侮辱。

歷史法提醒：題目年度法與現行法未逐條比對。

現行法提醒：法源欄僅沿用本題 source_packet，未主張已完成全文查證。

不確定性：未完成法源核對；部分資料是候選法源或僅供概念比對，請以官方試題、答案與現行法再核對。",中華民國刑法第 315 條之2,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000001,101,low,ok,ROC-101,official-primary,public-page-transcription,moex-official-answer-pdf,ai-generated,ai-source-packet,ai-generated-unreviewed,,,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=Q&code=101120&c=201&s=0213&q=1,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=M&code=101120&c=201&s=0213&q=1,,https://lawplayer.com/exam/judicial-officer/101-comprehensive-law-1-criminal
tw-101-tw01-003,tw01,101 年・第 3 題,刑法有關「褫奪公權」之規定，下列敘述，何者錯誤？,"剝奪為公務員之資格
剝奪行使選舉、罷免、創制、複決四權之資格
剝奪為公職候選人之資格
宣告死刑或無期徒刑者，宣告褫奪公權終身",2,2,"爭點：褫奪公權是否包含一般選舉、罷免、創制、複決權，以及死刑、無期徒刑的宣告效果。

規則：刑法第36條所稱褫奪公權，是剝奪為公務員及為公職候選人的資格，不包含一般人民行使選舉、罷免、創制、複決的資格。依第37條，宣告死刑或無期徒刑者，應宣告褫奪公權終身。

本題判斷：A與C分別是第36條明定的公務員及公職候選人資格；D符合死刑、無期徒刑應宣告終身褫奪公權的規定。B把一般選舉、罷免、創制、複決權也列入褫奪範圍，超出法條列舉，因此是錯誤敘述。

逐項分析：
A（非官方答案）：A敘述正確：為公務員的資格是刑法第36條明定的褫奪內容。
B（官方答案）：B敘述錯誤：褫奪公權不剝奪一般選舉、罷免、創制、複決權。
C（非官方答案）：C敘述正確：為公職候選人的資格是刑法第36條明定的褫奪內容。
D（非官方答案）：D敘述正確：宣告死刑或無期徒刑者，應宣告褫奪公權終身。

歷史法提醒：本題為民國101年度試題；解析依該年度題目所測褫奪公權制度說明，未完成其他歷史版本逐條比對。

現行法提醒：現行刑法仍以任公務員及公職候選人資格為褫奪內容；完整現行法脈絡未逐題人工核對。

不確定性：本解析由 AI 產生，未經律師逐題審核；packet 為未驗證法規入口，未完成法源核對。",中華民國刑法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000001,101,low,ok,ROC-101,official-primary,public-page-transcription,moex-official-answer-pdf,ai-generated,ai-source-packet,ai-generated-unreviewed,,,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=Q&code=101120&c=201&s=0213&q=1,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=M&code=101120&c=201&s=0213&q=1,,https://lawplayer.com/exam/judicial-officer/101-comprehensive-law-1-criminal
tw-101-tw01-004,tw01,101 年・第 4 題,有關主刑加減之標準，下列敘述，何者錯誤？,"死刑不得加重。死刑減輕者，為無期徒刑或十五年以上有期徒刑
無期徒刑不得加重。無期徒刑減輕者，為二十年以下十五年以上有期徒刑
有期徒刑或罰金加減者，其最高度與最低度同加減之
拘役加減者，僅加減其最高度",1,1,"爭點：死刑、無期徒刑、有期徒刑及拘役的主刑加減標準。

規則：刑法對死刑及無期徒刑的減輕有特別替代刑；有期徒刑與罰金依最高、最低度加減，拘役加減則依其期間規定。

本題判斷：A把死刑減輕後的最低年限寫成十五年以上，實際標準不符刑法減輕規定，故A錯誤。B至D分別符合無期、徒刑罰金及拘役的加減方式。

逐項分析：
A（官方答案）：本項敘述錯誤：死刑不得加重，減輕後的替代刑種類及年限須依刑法明文，A所列十五年以上不正確。
B（非官方答案）：本項敘述正確：無期徒刑不得加重，減輕後依規定轉為有期徒刑期間。
C（非官方答案）：本項敘述正確：有期徒刑或罰金加減時，最高與最低度均依規則加減。
D（非官方答案）：本項敘述正確：拘役加減依其最高度及法定期間計算，D的標準符合題意。

歷史法提醒：歷年題目的應試年度法規版本尚未逐題核對。

現行法提醒：現行法與判例尚未逐題核對。

不確定性：法源與版本未逐題核對，未完成法源核對。",,,101,low,ok,ROC-101,official-primary,public-page-transcription,moex-official-answer-pdf,ai-generated,none,ai-generated-unreviewed,,,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=Q&code=101120&c=201&s=0213&q=1,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=M&code=101120&c=201&s=0213&q=1,,https://lawplayer.com/exam/judicial-officer/101-comprehensive-law-1-criminal
tw-101-tw01-005,tw01,101 年・第 5 題,甲所為之下列何一行為，可能構成誣告罪？,"以匿名信函，捏造事實，向國稅局舉發某知名藝人逃漏鉅額所得稅
捏造事實，向監察委員檢舉某警察局局長，行為放浪，經常出入聲色場所
捏造事實，向經濟部告發某貿易公司，涉嫌跨國洗錢之地下經濟活動
捏造事實，投稿於報紙之「時論廣場」，公開指涉某政府官員收受賄賂",2,2,"爭點：捏造事實向不同公權力機關或媒體提出，何者具有使特定人受刑事或懲戒處分的告訴、告發性質，可能成立誣告罪。

規則：誣告須意圖使他人受刑事或懲戒處分，而向有權處理刑事或懲戒事項的公務員或機關虛構犯罪、違法或應受處分事實；單純向無此權限機關或報紙公開指摘，不當然具誣告罪的告訴、告發要件。

本題判斷：監察委員對官員有調查、彈劾或移送懲戒等公權力，向其捏造警察局長品行違法失當，可能使其受懲戒，符合誣告的對象與目的。稅務檢舉、經濟部告發及報紙投稿在本題設定下不具同樣的刑事或懲戒處分請求連結，故 B。

逐項分析：
A（非官方答案）：A 敘述錯誤：向國稅局匿名檢舉逃漏稅，題示事實未指向使藝人受刑事或懲戒處分的告訴、告發程序，不能僅因捏造事實即成立誣告。
B（官方答案）：B 敘述正確：監察委員可能啟動對警察局長的調查、彈劾或懲戒程序，向其捏造應受處分的品行事實，具有誣告罪所要求的處分目的與對象。
C（非官方答案）：C 敘述錯誤：向經濟部告發貿易公司的地下經濟活動，題示未表明該機關對被指摘者有刑事或懲戒處分權，欠缺誣告的法定連結。
D（非官方答案）：D 敘述錯誤：報紙時論投稿是向不具刑事或懲戒處分權的媒體公開指摘，不是誣告罪所稱向有權機關申告。

歷史法提醒：本題屬歷年試題；應試年度法規與現行法可能有差異，未逐題完成歷史版本核對。

現行法提醒：本解析只採 task source_packet 已列出的法源 ref；未列入 packet 的法條不以推測方式加入。

不確定性：本筆為 AI 產生，部分法源為非 text-verified 摘要，未經律師逐題審核，未完成法源核對。",,,101,low,ok,ROC-101,official-primary,public-page-transcription,moex-official-answer-pdf,ai-generated,none,ai-generated-unreviewed,,,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=Q&code=101120&c=201&s=0213&q=1,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=M&code=101120&c=201&s=0213&q=1,,https://lawplayer.com/exam/judicial-officer/101-comprehensive-law-1-criminal
tw-101-tw01-006,tw01,101 年・第 6 題,刑法第192 條第1 項違背預防傳染病法令罪，在構成要件的分類上，其屬於下列何者？,"結合構成要件
完整構成要件
變體構成要件
空白構成要件",4,4,"爭點：爭點是刑法第192條第1項引用外部防疫法令補充犯罪內容的構成要件類型。

規則：空白構成要件只在刑法條文中先設刑罰，而把禁止內容、命令內容或技術標準留待其他法律或命令補充。刑法第192條第1項的「違背預防傳染病法令」必須參照外部法令才能確定行為義務，屬空白構成要件。

本題判斷：第192條本身沒有完整列出何種防疫行為、何種法令命令及違反方式，而是以「預防傳染病法令」作外部規範連結。這正是構成要件需由其他法規填補的空白結構，不是完整或結合構成要件。

逐項分析：
A（非官方答案）：錯誤：條文不是把數個獨立犯罪要件結合，而是留下外部法令填補的空白。
B（非官方答案）：錯誤：若為完整構成要件，刑法自身應已足以界定禁止行為；第192條仍須查外部防疫法令。
C（非官方答案）：錯誤：變體構成要件是基本構成要件的加減要素變化，不能說明本條引用外部法令的特徵。
D（官方答案）：正確：犯罪內容須由預防傳染病法令補充，符合空白構成要件定義。

歷史法提醒：本題為民國101年度題目；應試年度法與現行法可能不同。

現行法提醒：現行法版本未由本稿逐條重新核對，使用前應以官方法規資料確認。

不確定性：本解析由 AI 產生，未經律師逐題審核；source packet 未逐題完成現行及應試年度法源核對，未完成法源核對。",中華民國刑法第 192 條,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000001,101,low,ok,ROC-101,official-primary,public-page-transcription,moex-official-answer-pdf,ai-generated,ai-source-packet,ai-generated-unreviewed,,,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=Q&code=101120&c=201&s=0213&q=1,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=M&code=101120&c=201&s=0213&q=1,,https://lawplayer.com/exam/judicial-officer/101-comprehensive-law-1-criminal
tw-101-tw01-007,tw01,101 年・第 7 題,交通警察甲取締闖紅燈之機車，擬開單舉發時，因違規駕駛人A 再三哀求拜託，而將違規事由記錄為未帶駕照，並教訓A 日後不要再闖紅燈。甲在罰單上記載未帶駕照而非闖紅燈之行為，在刑法上應論以何罪？,"刑法第211 條偽造公文書罪
刑法第211 條變造公文書罪
刑法第213 條公務員不實登載罪
刑法第216 條行使偽造變造公文書罪",3,3,"爭點：本題爭點是警察在公文書不實登載闖紅燈事實的罪名。

規則：公務員明知內容不實而在職務上製作公文書，成立刑法第213條公務員登載不實；偽造是無製作權人冒作，變造是改動既成文書，行使則是另有使用行為。

本題判斷：甲有製作交通舉發單的權限，卻故意把闖紅燈記成未帶駕照，屬有權公務員在公文書登載不實，不是偽造、變造或另行使偽造文書。

逐項分析：
A（非官方答案）：A敘述錯誤：甲有製作權限，沒有無權冒作整份公文書的偽造。
B（非官方答案）：B敘述錯誤：題幹是製作時記載錯誤，不是事後改動既成文書的變造。
C（官方答案）：C敘述正確：公務員利用職務製作罰單而故意不實登載，成立第213條。
D（非官方答案）：D敘述錯誤：題幹沒有另行使偽造或變造公文書的行為。

歷史法提醒：題目年度法與現行法未逐條比對。

現行法提醒：法源欄僅沿用本題 source_packet，未主張已完成全文查證。

不確定性：未完成法源核對；部分資料是候選法源或僅供概念比對，請以官方試題、答案與現行法再核對。",中華民國刑法第 211 條,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000001,101,low,ok,ROC-101,official-primary,public-page-transcription,moex-official-answer-pdf,ai-generated,ai-source-packet,ai-generated-unreviewed,,,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=Q&code=101120&c=201&s=0213&q=1,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=M&code=101120&c=201&s=0213&q=1,,https://lawplayer.com/exam/judicial-officer/101-comprehensive-law-1-criminal
tw-101-tw01-008,tw01,101 年・第 8 題,甲意圖供行使之用而偽造臺北捷運悠遊卡，依刑法甲應如何論罪？,"第195 條偽造通用貨幣罪
第201 條偽造有價證券罪
第201 條之1 偽造作為簽帳、提款、轉帳或支付工具之電磁紀錄物罪
第203 條偽造往來客票罪",3,3,"爭點：偽造悠遊卡應區分貨幣、有價證券、電磁紀錄與票證客體。

規則：刑法分別規範各類偽造；悠遊卡儲值支付的電子資料功能是分類重點。客體分類須看偽造物本身是否代表貨幣、可獨立流通的權利，或只是支付系統中的電子資料。

本題判斷：悠遊卡是記錄儲值及支付資料的電子工具，不是通貨或有價證券，官方答案歸入電磁紀錄。悠遊卡的儲值與扣款資訊以電磁方式運作，甲的行使意圖正對應支付工具電磁紀錄，而非紙本票證。

逐項分析：
A（非官方答案）：悠遊卡不是通貨，偽造不直接成立偽造貨幣。貨幣罪保護法定通貨流通，悠遊卡不具此性質。
B（非官方答案）：儲值支付資料不等同表彰財產權利的有價證券。有價證券須有權利表彰與流通功能，不能只因有金額就成立。
C（官方答案）：偽造可支付、儲值的電磁紀錄工具應依該類構成要件判斷。C最能涵蓋卡片的電子支付資料功能。
D（非官方答案）：一般票證規定不能不加區分涵蓋電子儲值資料。客票是運輸票證概念，不能涵蓋全部電子儲值資料。

歷史法提醒：題目涉及歷史年度或法規版本；未完成歷史版本與現行法逐條比對。

現行法提醒：本解析依題幹、官方答案及 task source_packet 產生；未完成現行法逐條核對。

不確定性：未完成法源核對",,,101,low,ok,ROC-101,official-primary,public-page-transcription,moex-official-answer-pdf,ai-generated,none,ai-generated-unreviewed,,,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=Q&code=101120&c=201&s=0213&q=1,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=M&code=101120&c=201&s=0213&q=1,,https://lawplayer.com/exam/judicial-officer/101-comprehensive-law-1-criminal
tw-101-tw01-009,tw01,101 年・第 9 題,A 將機車停在自助餐廳旁邊未熄火，即進入餐廳內購買便當，路人甲發現意圖據為己有，正擬跨上機車時，A 正好出來，將甲逮捕。問：甲應負何刑責？,"侵占罪未遂
侵占罪既遂
竊盜罪未遂
竊盜罪既遂",3,3,"爭點：爭點是甲跨上未熄火機車前被逮捕，是否已開始竊盜的執行行為。

規則：竊盜以他人動產、破壞持有人持有並建立自己不法持有為要件；未遂須已著手實行構成要件行為但結果未完成。侵占則以行為人先合法持有他人物為前提，單純發現他人機車並無合法持有關係。

本題判斷：A將機車停在餐廳旁並未熄火，不表示已把機車交給路人甲合法持有。甲為據為己有而正跨上機車，已開始排除A持有、建立自己持有的竊盜行為；A及時逮捕使占有尚未完成，因此是竊盜未遂。

逐項分析：
A（非官方答案）：錯誤：甲未因委託或交付而合法持有機車，欠缺侵占罪的先行持有前提。
B（非官方答案）：錯誤：甲尚未完成排除A持有並建立自己持有的結果，不能論竊盜既遂。
C（官方答案）：正確：甲為不法所有而跨上機車，已著手竊取他人動產，但因A逮捕而未遂。
D（非官方答案）：錯誤：僅有據為己有的意圖與跨上動作，尚未完成機車占有移轉，不能稱既遂。

歷史法提醒：本題為民國101年度題目；應試年度法與現行法可能不同。

現行法提醒：現行法版本未由本稿逐條重新核對，使用前應以官方法規資料確認。

不確定性：本解析由 AI 產生，未經律師逐題審核；source packet 未逐題完成現行及應試年度法源核對，未完成法源核對。",可能相關：中華民國刑法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000001,101,low,ok,ROC-101,official-primary,public-page-transcription,moex-official-answer-pdf,ai-generated,ai-source-packet,ai-generated-unreviewed,,,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=Q&code=101120&c=201&s=0213&q=1,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=M&code=101120&c=201&s=0213&q=1,,https://lawplayer.com/exam/judicial-officer/101-comprehensive-law-1-criminal
tw-101-tw01-010,tw01,101 年・第 10 題,甲欲殺害A，埋伏於隱僻處等待A 經過。月夜中，見一人過來，甲誤認為A，開槍射擊，不料死者竟是甲之父親。問：甲應負何罪責？,"普通殺人罪
殺害直系血親尊親屬罪
過失致死罪
過失致直系血親尊親屬於死罪",1,1,"爭點：行為人誤認被害人身分而開槍，實際死亡者為自己的直系血親尊親屬時，故意錯誤的效果。

規則：行為人對殺人客體發生同一構成要件內的對象錯誤，原本殺人的故意仍可歸責於實際死亡者；但刑法對殺害直系血親尊親屬的加重規定，要求故意指向該特定身分，不能因事後才發現死者是父親而回溯加重。

本題判斷：甲埋伏是為殺A，看到人即開槍，主觀上有殺人故意，結果射殺父親屬對象錯誤。甲仍成立普通殺人罪；不成立殺害尊親屬罪，也沒有過失致死或過失加重結果的問題，故A。

逐項分析：
A（官方答案）：甲有殺人故意，對象誤認不排除普通殺人罪，實際死亡者是父親仍可歸責於故意行為。
B（非官方答案）：甲主觀上誤認死者為A，沒有針對直系血親尊親屬的加重故意，不適用特別罪名。
C（非官方答案）：甲不是只因過失開槍，而是故意埋伏射殺，故不改論過失致死。
D（非官方答案）：刑法不因死亡者身分而創設過失致尊親屬死罪；且本題非過失，故錯誤。

歷史法提醒：歷年題目的應試年度法規版本尚未逐題核對。

現行法提醒：現行法與判例尚未逐題核對。

不確定性：題目法源未逐題核對，未完成法源核對。",,,101,low,ok,ROC-101,official-primary,public-page-transcription,moex-official-answer-pdf,ai-generated,none,ai-generated-unreviewed,,,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=Q&code=101120&c=201&s=0213&q=1,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?t=M&code=101120&c=201&s=0213&q=1,,https://lawplayer.com/exam/judicial-officer/101-comprehensive-law-1-criminal
